ingr,id,weight(g),cal(kCal),fat(g),carb(g),protein(g)
id-86-lamb-shank-226g,86,226,440.7,17.8992,0,69.8566
id-87-veal-kebab-piece-23g,87,23,53.13,2.6197,0,6.923
id-88-chicken-wing-34g,88,34,105.4,6.8306,3.8046,7.1876
id-89-chicken-wing-33g,89,33,102.3,6.6297,3.6927,6.9762
id-90-chicken-wing-33g,90,33,102.3,6.6297,3.6927,6.9762
id-91-chicken-wing-33g,91,33,102.3,6.6297,3.6927,6.9762
id-92-chicken-wing-34g,92,34,105.4,6.8306,3.8046,7.1876
id-93-chicken-wing-22g,93,22,68.2,4.4198,2.4618,4.6508
id-94-chicken-wing-27g,94,27,83.7,5.4243,3.0213,5.7078
id-95-chicken-wing-26g,95,26,80.6,5.2234,2.9094,5.4964
id-96-corn-81g,96,81,85.86,1.9035,17.7228,2.4786
id-97-french-fry-6g,97,6,18.72,0.8838,2.4864,0.2058
id-98-lobster-75g,98,75,66.75,0.645,0,14.25
id-99-corn-60g,99,60,63.6,1.41,13.128,1.836
id-100-steak-153g,100,153,374.85,15.5448,0,53.4735
id-101-steak-piece-28g,101,28,68.6,2.8448,0,9.786
id-102-steak-piece-13g,102,13,31.85,1.3208,0,4.5435
id-103-steak-piece-14g,103,14,34.3,1.4224,0,4.893
