Object_name,Food_Type,FNDDS Food Code,Weight (g),Energy (Kcal),Protein (g),Fat (g),Carbs (g),Volume
Applesauce,new_applesauce_4,63101110,119.0,80.92,0.1904,0.2023,20.8131,102.16
Avocado,Avocado_7,63105010,210.0,336.0,4.2,30.786,17.913,209.1
Avocado,Avocado_8,63105010,199.0,318.4,3.98,29.1734,16.9747,201.81
Avocado,Avocado_9,63105010,188.0,300.8,3.76,27.5608,16.0364,189.44
Avocado,avocado_2,63105010,135.0,216.0,2.7,19.791,11.5155,133.53
Avocado,avocado_3,63105010,82.0,131.2,1.64,12.0212,6.994599999999999,83.42
Avocado,avocado_4,63105010,82.0,131.2,1.64,12.0212,6.994599999999999,84.84
Avocado,avocado_5,63105010,137.0,219.2,2.74,20.0842,11.6861,134.68
Asparagus,new_asparagus_1,75202027,4.0,1.96,0.0916,0.13,0.1616,5.11
Asparagus,new_asparagus_2,75202011,8.0,1.68,0.1888,0.0104,0.3328,7.32
Asparagus,new_asparagus_3,75202011,19.0,3.99,0.4484,0.0247,0.7904,19.17
Asparagus,new_asparagus_4,75202011,45.0,9.450000000000001,1.062,0.0585,1.872,99.41
Asparagus,new_asparagus_5,75202011,373.0,78.33,8.8028,0.4849,15.5168,654.96
Bacon,bacon1,22600200,5.0,24.2,1.8705,1.79,0.095,6.01
Bacon,bacon2,21601000,8.0,35.92,2.504,2.752,0.112,7.07
Bacon,new_bacon_1,21601000,25.0,112.25,7.825,8.6,0.35,36.52
Bacon,new_bacon_2,21601000,12.0,53.88,3.756,4.128,0.168,13.05
Bacon,new_bacon_3,22601000,60.0,280.8,20.352,21.054,1.02,145.11
Bacon,new_bacon_4,24208500,77.0,283.36,22.715,19.9199,3.2648,186.45
Bagel,bagel_1,51180010,102.0,269.28,10.7712,1.3464,53.42760000000001,283.09
Bagel,bagel_2,51180010,92.0,242.88,9.715200000000001,1.2144,48.18960000000001,281.09
Bagel,bagel_3,51180010,94.0,248.16,9.9264,1.2408,49.2372,262.15
Bagel,bagel_4,51180010,75.0,198.0,7.92,0.99,39.285,202.06
Bagel,bagel_5,51180010,74.0,195.36,7.8144,0.9768,38.7612,218.49
Bagel,bagel_6,51180010,84.0,221.76,8.8704,1.1088,43.9992,255.21
Bagel,bagel_7,51180010,109.0,287.76,11.5104,1.4388,57.09420000000001,273.32
Bagel,bagel_8,51180010,114.0,300.96,12.0384,1.5048,59.7132,258.42
Bagel,new_bagel_1,51180030,104.0,278.72,10.2232,1.2584,57.2728,293.29
Baked_Potato,Potato_1,71100100,230.0,213.9,4.484999999999999,0.23,49.33499999999999,234.79
Baked_Potato,Potato_2,71100100,237.0,220.41,4.6215,0.237,50.8365,260.39
Baked_Potato,Potato_3,71100100,273.0,253.89,5.3235,0.273,58.5585,284.35
Baked_Potato,Potato_4,71100100,195.0,181.35,3.8025,0.195,41.8275,178.07
Baked_Potato,Potato_5,71100100,189.0,175.77,3.6855,0.189,40.54049999999999,174.48
Baked_Potato,Potato_6,71100100,204.0,189.72,3.978,0.204,43.758,183.47
Baked_Potato,Potato_7,71100100,162.0,150.66,3.159,0.162,34.749,157.98
Banana,Banana1,63107010,182.0,176.54,1.3468,0.5096,41.3322,197.82
Banana,Banana2,63107010,153.0,148.41,1.1322,0.4284000000000001,34.74630000000001,163.09
Banana,Banana3,63107010,187.0,181.39,1.3838,0.5236000000000001,42.4677,201.58
Banana,banana4,63107010,196.0,190.12,1.4504,0.5488000000000001,44.5116,200.55
Banana,banana5,63107010,194.0,188.18,1.4356,0.5432,44.0574,199.83
Banana,banana6,63107010,167.0,161.99,1.2358,0.4676,37.9257,175.08
Banana,new_banana_1,63107010,178.0,172.66,1.3172,0.4984000000000001,40.4238,184.1
Beans,baked_bean_1,41100990,48.0,90.72,4.0032,3.3984,11.4143,75.37
Beans,baked_bean_2,41201010,158.0,165.9,7.1416,1.4062,34.0806,174.41
Beans,baked_bean_4,41100990,0.5455,1.030995,0.0454947,0.0386214,0.1297199,0.38
Beans,new_beans_1,41101070,203.0,276.08,16.1588,1.6443,50.8312,201.85
Beans,new_beans_2,41101070,194.0,263.84,15.4424,1.5714,48.5776,267.45
Beans,new_beans_3,41101070,377.0,512.72,30.0092,3.0537,94.4008,415.42
Beans,new_beans_4,41101070,385.0,523.6,30.646,3.1185,96.404,351.29
Bell Pepper,new_bell_pepper_1,75122100,242.0,48.4,2.0812,0.4114,11.2288,389.33
Bell Pepper,new_bell_pepper_2,75122100,13.0,2.6,0.1118,0.0221,0.6032,21.19
Bell Pepper,new_bell_pepper_3,75122100,12.0,2.4,0.1032,0.0204,0.5568,12.67
Bell Pepper,new_bell_pepper_4,75122200,12.0,3.12,0.1188,0.036,0.7236,23.67
Bell Pepper,new_bell_pepper_5,75122200,14.0,3.640000000000001,0.1386,0.042,0.8442000000000001,13.12
Biscuits,biscuit1,52101000,49.0,181.3,3.4692,9.270800000000001,20.9818,112.32
Biscuits,biscuit2,52101000,48.0,177.6,3.3984,9.0816,20.5536,116.84
Biscuits,biscuit3,52101000,48.0,177.6,3.3984,9.0816,20.5536,120.24
Biscuits,biscuit_4,52101000,50.0,185.0,3.54,9.46,21.41,76.76
Biscuits,biscuit_5,52101000,42.0,155.4,2.9736,7.946400000000001,17.9844,86.66
Biscuits,biscuit_6,52101000,43.0,159.1,3.0444,8.1356,18.4126,88.59
Biscuits,new_biscuit_1,58128000,112.0,250.88,6.944000000000001,16.4416,19.0176,227.99
Biscuits,new_biscuit_2,58128000,66.0,147.84,4.092000000000001,9.6888,11.2068,131.65
Biscuits,new_biscuit_3,58128000,35.0,78.39999999999999,2.17,5.138,5.943,62.56
Biscuits,new_biscuit_4,58128000,39.0,87.36,2.418,5.7252,6.6222,88.42
Blueberries,Blueberry_2,63203010,16.0,9.120000000000001,0.1184,0.05280000000000001,2.3184,11.1
Blueberries,Blueberry_3,63203010,3.0,1.71,0.0222,0.0099,0.4347,6.95
Blueberries,Blueberry_4,63203010,2.33,1.3281,0.017242,0.007689000000000001,0.337617,3.91
Blueberries,Blueberry_5,63203010,1.67,0.9519,0.012358,0.005511,0.241983,2.11
Blueberries,new_blueberry_1,63203010,2.0,1.14,0.0148,0.006600000000000001,0.2898,1.38
Blueberries,new_blueberry_2,63203010,1.0,0.5700000000000001,0.0074,0.0033,0.1449,1.54
Blueberries,new_blueberry_3,63203110,1.0,0.88,0.0104,0.004,0.2266,1.04
Blueberries,new_blueberry_4,63203110,1.0,0.88,0.0104,0.004,0.2266,1.11
Blueberry(bowl),bowl1,63203010,188.0,107.16,1.3912,0.6204,27.2412,360.79
Blueberry(bowl),last_blueberry_1,63203010,123.0,70.11,0.9102,0.4058999999999999,17.8227,221.11
Blueberry(bowl),last_blueberry_2,63203010,140.0,79.8,1.036,0.462,20.286,251.45
Blueberry(bowl),last_blueberry_3,63203010,216.0,123.12,1.5984,0.7127999999999999,31.2984,402.38
Blueberry(bowl),last_blueberry_4,63203010,157.0,89.49,1.1618,0.5180999999999999,22.7493,295.22
Breaded_Fish,breaded_fish_1,26100140,119.0,320.11,19.0995,20.5037,13.9468,183.6
Breaded_Fish,breaded_fish_2,26100140,101.0,271.69,16.2105,17.4023,11.8372,133.62
Breaded_Fish,breaded_fish_3,26100140,109.0,293.21,17.4945,18.7807,12.7748,162.41
Breaded_Fish,breaded_fish_4,26100140,61.0,164.09,9.7905,10.5103,7.1492,78.53
Breaded_Fish,breaded_fish_5,26100140,85.0,228.65,13.6425,14.6455,9.962,108.97
Breaded_Fish,breaded_fish_6,26100140,67.0,180.23,10.7535,11.5441,7.852400000000001,86.17
Breaded_Fish,breaded_fish_7,26100140,68.0,182.92,10.914,11.7164,7.969600000000001,85.0
Breaded_Fish,breaded_fish_8,26100140,76.0,204.44,12.198,13.0948,8.907200000000001,100.88
Breaded_Fish,new_breaded_fish_1,26100270,61.0,168.97,6.7161,9.9003,13.2126,66.83
Breaded_Fish,new_breaded_fish_2,26100140,133.0,357.77,21.3465,22.9159,15.5876,181.29
Broccoli,Broccoli_1,72201100,19.0,7.41,0.4883,0.0646,1.1913,30.82
Broccoli,Broccoli_2,72201100,15.0,5.85,0.3855,0.051,0.9404999999999999,23.72
Broccoli,Broccoli_3,72201100,20.0,7.800000000000001,0.514,0.068,1.254,32.7
Broccoli,broccoli_5,72201100,299.0,116.61,7.6843,1.0166,18.7473,528.92
Broccoli,broccoli_6,72201100,251.0,97.88999999999999,6.450699999999999,0.8533999999999999,15.7377,417.57
Broccoli,broccoli_7,72201100,17.0,6.630000000000001,0.4369,0.05780000000000001,1.0659,31.37
Broccoli,broccoli_8,72201100,9.0,3.51,0.2313,0.0306,0.5642999999999999,14.61
Broccoli,new_broccoli_1,72201100,237.0,92.43,6.0909,0.8058000000000001,14.8599,457.57
Broccoli,new_broccoli_2,72201212,78.0,21.84,2.4102,0.0936,4.1574,205.98
Brownies,Brownies_1,53204010,94.0,380.7,4.512,15.322,60.066,80.29
Brownies,Brownies_2,53204010,97.0,392.85,4.656,15.811,61.983,84.1
Brownies,Brownies_3,53204010,104.0,421.2,4.992,16.952,66.456,112.52
Brownies,Brownies_4,53204010,103.0,417.15,4.944,16.789,65.81700000000001,104.39
Brownies,Brownies_5,53204010,101.0,409.05,4.848,16.463,64.539,114.8
Burger,Burger_1,27510155,191.0,567.27,34.2081,30.9611,35.6788,368.77
Burger,Burger_2,27510155,235.0,697.95,42.0885,38.09350000000001,43.898,420.21
Burger,new_burger_1,27510389,200.0,522.0,23.88,28.2,43.06,445.76
Burger,new_burger_2,27510140,49.0,146.02,7.9429,7.046200000000001,12.2451,142.25
Burger,new_burger_3,27510232,214.0,575.6600000000001,32.54940000000001,30.816,42.2008,408.51
Burger,new_burger_4,27510231,296.0,793.28,40.5224,46.768,52.4808,535.82
Burrito,burrito_1,58100160,269.0,589.11,30.02,64.15,23.05,308.28
Burrito,burrito_2,58100160,535.0,1171.65,59.7,127.59,45.84,542.87
Burrito,burrito_3,58100160,291.0,637.29,32.47,69.4,24.93,311.17
Burrito,new_burrito_1,58102310,259.0,691.53,34.4988,27.7389,73.3488,309.47
Burrito,new_burrito_2,58102310,144.0,384.48,19.1808,15.4224,40.7808,155.62
Burrito,new_burrito_3,58102310,115.0,307.05,15.318,12.3165,32.568,133.98
Burrito,new_burrito_4,58102310,441.0,1177.47,58.74120000000001,47.2311,124.8912,520.98
Cabbage,cabbage_1,75105000,33.0,10.23,0.4719,0.05280000000000001,2.4321,55.73
Cabbage,cabbage_2,75105000,34.0,10.54,0.4862,0.0544,2.5058,45.93
Cabbage,cabbage_3,75105000,33.0,10.23,0.4719,0.05280000000000001,2.4321,55.3
Cabbage,cabbage_4,75105000,24.0,7.44,0.3431999999999999,0.0384,1.7688,63.23
Cabbage,cabbage_5,75105000,1861.0,576.91,26.6123,2.9776,137.1557,2006.98
Cabbage,cabbage_6,75105000,34.0,10.54,0.4862,0.0544,2.5058,63.12
Cabbage,new_cabbage_1,75105000,834.0,258.54,11.9262,1.3344,61.4658,1053.3
Cabbage,new_cabbage_2,75105000,24.0,7.44,0.3431999999999999,0.0384,1.7688,18.03
Cabbage,new_cabbage_3,75103000,660.0,165.0,8.448,0.66,38.27999999999999,1295.07
Cabbage,new_cabbage_4,75103000,16.0,4.0,0.2048,0.016,0.9279999999999999,88.73
Cake,cake_4,53100100,121.0,425.92,3.4364,17.8717,64.856,148.35
Cake,last_cake_1,53104500,77.0,271.04,2.1868,11.3729,41.27199999999999,74.8
Cake,last_cake_2,53104500,93.0,327.36,2.6412,13.7361,49.84799999999999,99.87
Cake,last_cake_3,53104260,206.0,725.12,5.8504,30.4262,110.416,354.1
Cake,last_cake_4,53120270,195.0,686.4,5.538000000000001,28.8015,104.52,413.23
Carrot,carrot_1,73101010,88.0,36.08,0.8184,0.2112,8.4304,79.23
Carrot,carrot_2,73101010,93.0,38.13,0.8649000000000001,0.2232,8.9094,60.21
Carrot,carrot_3,73102212,134.0,52.26000000000001,1.0854,0.6298,10.586,164.39
Carrot,carrot_4,73102241,122.0,109.8,1.098,3.2696,20.3496,193.72
Carrot,carrot_5,73101010,39.0,15.99,0.3627,0.0936,3.7362,181.26
Carrot,carrot_6,73101010,102.0,41.82,0.9486000000000001,0.2448,9.7716,96.85
Carrot,carrot_7,73101010,93.0,38.13,0.8649000000000001,0.2232,8.9094,85.81
Carrot,carrot_9,73101010,9.0,3.69,0.0837,0.0216,0.8622,7.43
Carrot,new_carrot_1,73102222,106.0,64.66,0.8374,3.18,8.1302,220.32
Carrot,new_carrot_2,73101010,25.0,10.25,0.2325,0.06,2.395,7.45
Carrot,new_carrot_3,73101010,9.0,3.69,0.0837,0.0216,0.8622,22.61
Cauliflower,new_cauliflower_1,75107000,815.0,203.75,15.648,2.282,40.5055,1368.71
Cauliflower,new_cauliflower_2,75107000,25.0,6.25,0.48,0.07,1.2425,30.97
Cauliflower,new_cauliflower_3,75107000,66.0,16.5,1.2672,0.1848,3.2802,79.19
Cauliflower,new_cauliflower_4,75107000,56.0,14.0,1.0752,0.1568,2.7832,69.37
Cauliflower,new_cauliflower_5,75107000,32.0,8.0,0.6144,0.08960000000000001,1.5904,39.69
Cereal bars,new_cereal_bar_1,53710906,21.0,98.91,2.121,4.158,13.524,26.71
Cereal bars,new_cereal_bar_2,53714200,48.0,230.4,3.609599999999999,9.8016,31.18079999999999,52.4
Cereal bars,new_cereal_bar_3,53714400,23.0,95.91000000000001,0.782,2.07,18.515,56.37
Cereal bars,new_cereal_bar_4,53710904,34.0,165.58,3.107600000000001,7.7724,20.7876,44.63
Cereal bars,new_cereal_bar_5,53714520,37.0,139.12,1.628,2.775,26.936,55.56
Chicken_breast,breast_1,24120120,78.0,112.32,21.8712,2.7846,0.0,116.27
Chicken_breast,breast_2,24120120,128.0,184.32,35.8912,4.5696,0.0,149.53
Chicken_breast,breast_3,24120120,122.0,175.68,34.2088,4.355399999999999,0.0,258.31
Chicken_breast,breast_4,24120120,127.0,182.88,35.6108,4.5339,0.0,245.75
Chicken_Nugget,Nugget_1,24198729,14.0,42.98,2.2288,2.8504,2.0902,22.52
Chicken_Nugget,Nugget_2,24198729,15.0,46.05,2.388,3.054,2.2395,22.52
Chicken_Nugget,Nugget_3,24198729,15.0,46.05,2.388,3.054,2.2395,20.47
Chicken_Nugget,Nugget_4,24198729,9.0,27.63,1.4328,1.8324,1.3437,9.09
Chicken_Nugget,Nugget_5,24198729,11.0,33.77,1.7512,2.2396,1.6423,17.82
Chicken_Nugget,Nugget_6,24198729,14.0,42.98,2.2288,2.8504,2.0902,11.06
Chicken_Nugget,Nugget_7,24198729,24.0,73.67999999999999,3.8208,4.8864,3.5832,50.59
Chicken_Nugget,Nugget_8,24198729,23.0,70.61,3.6616,4.6828,3.4339,42.31
Chicken_Nugget,Nugget_9,24198729,23.0,70.61,3.6616,4.6828,3.4339,37.13
Chicken_Nugget,new_chicken_nugget_1,24198731,14.0,42.98,2.2288,2.8504,2.0902,19.35
Chicken_Nugget,new_chicken_nugget_2,24198736,19.0,56.62,2.5384,3.6537,3.3972,22.61
Chicken_tender,tender_1,24198739,57.0,154.47,10.9554,7.951499999999999,9.8325,63.28
Chicken_tender,tender_2,24198739,44.0,119.24,8.4568,6.138,7.59,45.85
Chicken_tender,tender_3,24198739,37.0,100.27,7.1114,5.161499999999999,6.3825,42.06
Chicken_tender,tender_4,24198739,38.0,102.98,7.303599999999999,5.301,6.555,39.37
Chicken_tender,tender_5,24198739,32.0,86.72,6.150399999999999,4.464,5.52,43.95
Chicken_thighs,thigh_1,24150210,109.0,246.34,24.53590000000001,16.4372,0.1308,133.97
Chicken_thighs,thigh_2,24150210,94.0,212.44,21.1594,14.1752,0.1128,109.59
Chicken_thighs,thigh_3,24150210,207.0,467.8199999999999,46.5957,31.2156,0.2484,248.83
Chicken_thighs,thigh_5,24157320,161.0,473.34,26.1786,31.6687,20.93,178.42
Chicken_thighs,thigh_6,24157320,181.0,532.14,29.43060000000001,35.60270000000001,23.53,250.97
Chicken_thighs,thigh_7,24152250,180.0,437.4,40.626,29.25,0.0,208.71
Chicken_wings,wings_1,24167220,59.0,190.57,10.4843,12.5552,8.85,81.42
Chicken_wings,wings_2,24167220,56.0,180.88,9.9512,11.9168,8.4,85.82
Chicken_wings,wings_3,24167220,80.0,258.4,14.216,17.024,12.0,111.55
Chicken_wings,wings_4,24162140,58.0,149.06,13.5836,10.4632,0.348,58.42
Chicken_wings,wings_5,24168001,38.0,104.88,6.441,6.6082,4.989400000000001,38.42
Chicken_wings,wings_6,24168021,35.0,94.85,6.0165,6.0095,4.2035,42.38
Chicken_wings,wings_7,24167220,28.0,90.44000000000001,4.9756,5.958400000000001,4.2,47.28
Chocolate,new_chocolate_1,91705400,59.0,318.01,3.4633,18.9331,34.9516,55.56
Chocolate,new_chocolate_2,91705030,14.0,67.2,0.5880000000000001,4.2,8.946000000000002,17.26
Chocolate,new_chocolate_3,91705300,149.0,819.5,7.584099999999999,47.978,89.3553,223.06
Chocolate,new_chocolate_4,91705300,17.0,93.5,0.8653000000000001,5.474000000000001,10.1949,27.93
Cinnamon_Roll,cinnamon_bun_1,51160100,107.0,398.04,6.634,17.548,54.463,280.36
Cinnamon_Roll,cinnamon_bun_2,51160100,85.0,316.2,5.27,13.94,43.265,210.7
Cinnamon_Roll,cinnamon_bun_3,51160100,73.0,271.56,4.526,11.972,37.157,181.65
Cinnamon_Roll,cinnamon_bun_4,51160100,152.0,565.44,9.424000000000001,24.928,77.368,415.78
Cinnamon_Roll,cinnamon_bun_5,51160100,156.0,580.32,9.672,25.584,79.404,364.08
Cinnamon_Roll,cinnamon_bun_6,51160100,152.0,565.44,9.424000000000001,24.928,77.368,410.94
Cinnamon_Roll,new_cinnamon_roll_1,51160100,36.0,133.92,2.232,5.903999999999999,18.324,43.84
Coleslaw,coleslaw_1,75140990,114.0,181.26,1.0032,13.4292,14.079,126.65
Coleslaw,new_coleslaw_1,75140990,167.0,265.53,1.4696,19.6726,20.6245,305.23
Coleslaw,new_coleslaw_2,75140990,354.0,562.86,3.1152,41.7012,43.719,261.67
Coleslaw,new_coleslaw_3,75141000,180.0,203.4,2.052,14.202,18.036,348.0
Coleslaw,new_coleslaw_4,75141000,225.0,254.25,2.565,17.7525,22.545,439.07
Cookies,Cookies_1,53209015,11.0,51.04,0.5731,2.1054,7.81,16.03
Cookies,Cookies_3,53244020,50.0,216.5,1.69,7.465,36.35,60.33
Cookies,Cookies_4,53201000,36.0,177.12,1.836,8.899199999999999,23.5296,44.24
Cookies,Cookies_5,53201000,43.0,211.56,2.193,10.6296,28.1048,57.82
Cookies,Cookies_6,53206000,42.0,206.64,2.142,10.3824,27.4512,55.25
Corn dog,new_corn_dog_1,27560300,77.0,192.5,6.5989,9.2554,20.7592,105.43
Corn dog,new_corn_dog_2,27560300,80.0,200.0,6.856000000000001,9.616,21.568,109.99
Corn dog,new_corn_dog_3,27560300,219.0,547.5,18.7683,26.3238,59.0424,354.86
Corn dog,new_corn_dog_4,27560300,139.0,347.5,11.9123,16.7078,37.4744,208.01
Corn dog,new_corn_dog_5,27560300,188.0,470.0,16.1116,22.5976,50.6848,269.12
Corn_Stick,corn1,75216111,242.0,208.12,7.889199999999999,3.267,45.1088,263.1
Corn_Stick,corn2,75216111,272.0,233.92,8.8672,3.672000000000001,50.70080000000001,295.13
Corn_Stick,corn3,75216111,275.0,236.5,8.965,3.7125,51.26000000000001,300.14
Corn_Stick,corn4,75216111,316.0,271.76,10.3016,4.266000000000001,58.90240000000001,426.77
Corn_Stick,corn5,75216111,341.0,293.26,11.1166,4.6035,63.5624,457.39
Corn_Stick,corn6,75216111,291.0,250.26,9.4866,3.928500000000001,54.2424,306.96
Corn(bowl),corn_bowl_1,75216111,228.0,196.08,7.432799999999999,3.078,42.49919999999999,320.41
Corn(bowl),corn_bowl_2,75216111,228.0,196.08,7.432799999999999,3.078,42.49919999999999,356.29
Corn(bowl),new_corn_1,75216111,321.0,276.06,10.4646,4.3335,59.8344,526.04
Corn(bowl),new_corn_2,75216111,172.0,147.92,5.6072,2.322,32.0608,378.33
Corn(bowl),new_corn_3,75216113,198.0,132.66,4.5342,2.4156,28.3932,421.59
Corn(bowl),new_corn_4,75216113,255.0,170.85,5.839499999999999,3.111,36.567,390.58
Croissant,Croissant_1,51166000,45.0,182.7,3.69,9.450000000000001,20.61,157.34
Croissant,Croissant_2,51166000,49.0,198.94,4.018,10.29,22.442,181.36
Croissant,Croissant_3,51166000,46.0,186.76,3.772,9.66,21.068,176.57
Croissant,Croissant_4,51166000,67.0,272.02,5.494,14.07,30.686,412.31
Croissant,Croissant_5,51166000,64.0,259.84,5.247999999999999,13.44,29.312,404.92
Croissant,Croissant_6,51166000,68.0,276.08,5.576,14.28,31.144,303.41
Croissant,new_croissant_1,51166000,77.0,312.62,6.313999999999999,16.17,35.266,143.32
Croissant,new_croissant_2,51166000,59.0,239.54,4.837999999999999,12.39,27.022,232.8
Cottage cheese,new_cottage_cheese_1,14201010,428.0,419.44,47.5936,18.404,14.4664,450.31
Cottage cheese,new_cottage_cheese_2,14200100,111.0,91.02000000000001,12.21,2.553,4.7841,106.78
Cottage cheese,new_cottage_cheese_3,14200100,118.0,96.75999999999999,12.98,2.714,5.085799999999999,116.9
Cottage cheese,new_cottage_cheese_4,14200100,166.0,136.12,18.26,3.818,7.154599999999999,154.76
Cottage cheese,new_cottage_cheese_5,14204010,171.0,140.22,18.81,3.933,7.370099999999999,151.28
Crab,new_crab_1,26305160,136.0,112.88,24.3168,1.0064,0.0,268.11
Crab,new_crab_2,26305180,141.0,117.03,25.2108,1.0434,0.0,168.83
Crab cake,new_crab_cake_1,27250040,26.0,55.64,3.744,3.8922,1.1648,37.33
Crab cake,new_crab_cake_2,27250040,26.0,55.64,3.744,3.8922,1.1648,28.69
Crab cake,new_crab_cake_3,27250040,25.0,53.5,3.6,3.7425,1.12,28.69
Crab cake,new_crab_cake_4,27250040,27.0,57.78,3.888,4.0419,1.2096,35.31
Crab cake,new_crab_cake_5,27550110,57.0,131.67,7.261799999999999,6.372599999999999,11.0523,74.36
Cucumber,new_cucumber_1,75111000,93.0,13.95,0.6045,0.1023,3.3759,93.98
Cucumber,new_cucumber_2,75111000,68.0,10.2,0.4420000000000001,0.0748,2.4684,65.77
Cucumber,new_cucumber_3,75111000,115.0,17.25,0.7474999999999999,0.1265,4.174499999999999,112.51
Cucumber,new_cucumber_4,75111000,14.0,2.1,0.09100000000000001,0.0154,0.5082,13.09
Cucumber,new_cucumber_5,75111000,45.0,6.75,0.2925,0.0495,1.6335,60.39
Doughnut,doughnut1,53521110,66.0,277.86,4.0524,14.982,31.6338,188.15
Doughnut,doughnut3,53521230,59.0,217.12,2.666799999999999,11.033,27.2875,157.22
Doughnut,doughnut4,53521110,71.0,298.91,4.3594,16.117,34.0303,143.16
Doughnut,doughnut5,53521110,81.0,341.01,4.9734,18.387,38.8233,188.96
Doughnut,doughnut6,53521110,84.0,353.64,5.1576,19.068,40.2612,210.53
Doughnut,doughnut7,53521110,68.0,286.28,4.1752,15.436,32.5924,114.35
Edamame,new_edamame_1,41420020,3.0,4.2,0.3462,0.2274,0.2589,3.55
Edamame,new_edamame_2,41420020,4.0,5.600000000000001,0.4616,0.3032,0.3452000000000001,4.92
Edamame,new_edamame_3,41420020,3.0,4.2,0.3462,0.2274,0.2589,13.72
Edamame,new_edamame_5,41420020,108.0,151.2,12.4632,8.1864,9.320400000000001,306.76
Egg,boiledegg1,31103010,46.0,65.78,5.704000000000001,4.581600000000001,0.4416,45.66
Egg,boiledegg2,31103010,60.0,85.8,7.44,5.976,0.576,101.89
Egg,new_egg_1,31103010,52.0,74.36,6.448,5.179200000000001,0.4992,53.24
Egg,new_egg_3,31103010,58.0,82.94,7.191999999999999,5.7768,0.5568,52.16
Egg,new_egg_4,31101010,58.0,82.94,7.191999999999999,5.7768,0.5568,56.35
Falafel,new_falafel_1,41209000,28.0,143.92,2.3184,11.5332,8.1088,30.9
Falafel,new_falafel_2,41209000,26.0,133.64,2.1528,10.7094,7.5296,29.05
Falafel,new_falafel_3,41209000,27.0,138.78,2.2356,11.1213,7.8192,30.75
Falafel,new_falafel_4,41209000,29.0,149.06,2.4012,11.9451,8.3984,32.87
Falafel,new_falafel_5,41209000,28.0,143.92,2.3184,11.5332,8.1088,31.82
Frankfurter_Sandwich,Frank_Sandwich_1,25210110,205.0,635.5,23.985,57.39999999999999,5.9245,367.25
Frankfurter_Sandwich,Frank_Sandwich_2,25210110,191.0,592.1,22.347,53.48,5.5199,589.83
Frankfurter_Sandwich,Frank_Sandwich_3,27564060,159.0,470.64,17.25,27.61,37.73,286.26
Frankfurter_Sandwich,Frank_Sandwich_4,27564060,140.0,414.3999999999999,15.188679245283016,24.310691823899365,33.22138364779873,275.25
Frankfurter_Sandwich,Frank_Sandwich_5,27564060,100.0,295.99999999999994,10.849056603773583,17.36477987421383,23.729559748427665,180.38
French_Fry,fries_1,71401030,69.0,215.28,2.3667,10.1637,28.5936,300.14
French_Fry,fries_2,71401030,5.0,15.6,0.1715,0.7365,2.072,11.8
French_Fry,new_fries_3,71401031,71.0,205.19,2.4779,9.968399999999999,26.412,259.78
French_Fry,new_fries_4,71401031,267.0,771.63,9.3183,37.4868,99.324,864.91
